productId,name,price,categoryId,imageUrl
0,Banana Buzz,,,/images/alibarbar_9k/alibarbar-vape-9000-banana-buzz-ingot
0,Blackberry Ice,,,/images/alibarbar_9k/alibarbar-vape-9000-blackberry-ive-ingot.png
0,Blueberry Blast,,,/images/alibarbar_9k/alibarbar-vape-9000-blueberry-blast-ingot.png
0,Blueberry Mint,,,/images/alibarbar_9k/alibarbar-vape-9000-BLUEBERRY-MINT.png
0,California Sunset (Fanta),,,/images/alibarbar_9k/alibarbar-vape-9000-california-sunset-ingot.png
0,Chupa Strawberry,,,/images/alibarbar_9k/sss-min.png
0,Cool Mint,,,/images/alibarbar_9k/alibarbar-vape-9000-cool-mint-ingot.png
0,Double Apple,,,/images/alibarbar_9k/alibarbar-vape-9000-double-apple-ingot.png
0,FTP,,,/images/alibarbar_9k/alibarbar-vape-9000-FTP.png
0,Grape Ice,,,/images/alibarbar_9k/alibarbar-vape-9000-grape-ice-ingot.png
0,Kiwi Pineapple,,,/images/alibarbar_9k/alibarbar-vape-9000-kiwi-pineapple-ingot.png
0,Mango Magic,,,/images/alibarbar_9k/alibarbar-vape-9000-mango-magic-ingot.png
0,Passionfruit Mango Lime,,,/images/alibarbar_9k/alibarbar-vape-9000-passionfruit-mango-lime-ingot.png
0,Peach Ice,,,/images/alibarbar_9k/ALIBARBAR-PEACH-ICE.jpg
0,Pink Lemon,,,/images/alibarbar_9k/alibarbar-vape-9000-pink-lemon-ingot.png
0,Ribena,,,/images/alibarbar_9k/ribena.jpg
0,Skittles,,,/images/alibarbar_9k/alibarbar-vape-9000-SKITTLES.png
0,Strawberry Coconut Watermelon,,,/images/alibarbar_9k/alibarbar-vape-9000-strawberry-coconut-watermelon-ingot.png
0,Strawberry Lychee,,,/images/alibarbar_9k/strawberry-lychee.jpg
0,Strawberry Watermelon,,,/images/alibarbar_9k/ALIBARBAR-STRAWBERRY-WATERMELON.jpg
0,Watermelon Ice,,,/images/alibarbar_9k/alibarbar-vape-9000-watermelon-ice-ingot.png
0,WTF (Grapefruit),,,/images/alibarbar_9k/alibarbar-vape-9000-WTF.png
0,Tobacco,,,/images/alibarbar_9k/alibarbar-vape-9000-tobacco-ingot.png
